Location,Bedrooms,Bathrooms,Size,Price
Santa Maria-Orcutt,4,3,1900,259000
Santa Maria-Orcutt,3,2,1050,165000
Santa Maria-Orcutt,3,2,1414,289900
Santa Maria-Orcutt,3,2,1200,220000
Santa Maria-Orcutt,2,2,1150,459900
Santa Maria-Orcutt,5,3,2481,299000
Santa Maria-Orcutt,4,3,1600,309900
Santa Maria-Orcutt,3,2,1516,225000
Santa Maria-Orcutt,3,2,1080,130000
Santa Maria-Orcutt,2,1,920,169990
Santa Maria-Orcutt,3,2,1027,145000
Santa Maria-Orcutt,3,2,1253,189900
Santa Maria-Orcutt,3,2,1062,249000
Santa Maria-Orcutt,4,2,1934,185000
Santa Maria-Orcutt,3,3,1859,245000
Santa Maria-Orcutt,4,3,2400,289900
Santa Maria-Orcutt,3,2,1110,175000
Santa Maria-Orcutt,3,2,1075,139000
Santa Maria-Orcutt,3,2,1840,399000
Santa Maria-Orcutt,3,2,1622,350000
Santa Maria-Orcutt,3,2,1204,165000
Santa Maria-Orcutt,3,3,1750,210000
Santa Maria-Orcutt,3,2,1000,110000
Santa Maria-Orcutt,3,2,1114,159900
Santa Maria-Orcutt,3,2,1100,174900
Santa Maria-Orcutt,3,2,1349,150000
Santa Maria-Orcutt,4,2,1174,256000
Santa Maria-Orcutt,3,3,1910,280000
Santa Maria-Orcutt,3,2,1200,140000
Santa Maria-Orcutt,3,2,1092,164900
Santa Maria-Orcutt,3,2,1275,199900
Santa Maria-Orcutt,3,2,1712,204000
Santa Maria-Orcutt,3,2,1100,220000
Santa Maria-Orcutt,3,2,1671,229900
Santa Maria-Orcutt,2,1,775,114900
Santa Maria-Orcutt,4,3,2100,266800
Santa Maria-Orcutt,3,2,1807,250000
Santa Maria-Orcutt,4,2,1352,220000
Santa Maria-Orcutt,3,2,1526,159900
Santa Maria-Orcutt,3,2,1593,155000
Santa Maria-Orcutt,3,3,2328,300000
Santa Maria-Orcutt,3,2,1008,179900
Santa Maria-Orcutt,3,2,1340,155000
Santa Maria-Orcutt,5,4,3039,425000
Santa Maria-Orcutt,3,2,1733,249900
Santa Maria-Orcutt,4,3,1947,239000
Santa Maria-Orcutt,4,3,1927,230000
Santa Maria-Orcutt,3,2,1292,189000
Santa Maria-Orcutt,3,2,1300,169900
Santa Maria-Orcutt,3,2,1700,286500
Santa Maria-Orcutt,3,2,1520,209000
Santa Maria-Orcutt,2,2,900,95000
Santa Maria-Orcutt,3,2,1407,199900
Santa Maria-Orcutt,3,2,1170,185000
Santa Maria-Orcutt,5,4,2900,310000
Santa Maria-Orcutt,4,2,1656,239900
Santa Maria-Orcutt,2,2,980,187900
Santa Maria-Orcutt,3,2,1278,260000
Santa Maria-Orcutt,3,2,1200,175000
Santa Maria-Orcutt,3,2,1257,185000
Santa Maria-Orcutt,2,2,1100,139900
Santa Maria-Orcutt,3,2,1461,174900
Santa Maria-Orcutt,3,2,1200,169000
Santa Maria-Orcutt,3,3,2039,240000
Santa Maria-Orcutt,4,3,2150,364000
Santa Maria-Orcutt,4,3,1969,299900
Santa Maria-Orcutt,4,3,2357,281900
Santa Maria-Orcutt,3,2,1850,220000
Santa Maria-Orcutt,3,2,1200,135000
Santa Maria-Orcutt,3,2,1200,179000
Santa Maria-Orcutt,3,2,1500,177000
Santa Maria-Orcutt,3,2,1500,177000
Santa Maria-Orcutt,3,2,1400,239500
Santa Maria-Orcutt,3,2,1460,275000
Santa Maria-Orcutt,1,1,800,78500
Santa Maria-Orcutt,3,3,1520,179900
Santa Maria-Orcutt,4,3,2150,299900
Santa Maria-Orcutt,3,2,1022,130000
Santa Maria-Orcutt,4,2,1435,189900
Santa Maria-Orcutt,4,2,1430,200000
Santa Maria-Orcutt,3,2,1100,109900
Santa Maria-Orcutt,3,2,1704,249500
Santa Maria-Orcutt,4,3,2100,399000
Santa Maria-Orcutt,3,2,1972,179900
Santa Maria-Orcutt,4,3,2100,235000
Santa Maria-Orcutt,3,2,1280,250000
Santa Maria-Orcutt,2,2,1034,119900
Santa Maria-Orcutt,5,3,2100,410000
Santa Maria-Orcutt,4,2,1378,197600
Santa Maria-Orcutt,3,2,1316,150000
Santa Maria-Orcutt,4,3,2300,265000
Santa Maria-Orcutt,5,3,1671,199900
Santa Maria-Orcutt,4,3,2800,349900
Santa Maria-Orcutt,2,2,900,99000
Templeton,4,5,5500,1150000
Templeton,3,2,1852,550000
Templeton,4,3,6500,1399000
Templeton,4,4,3100,799000
Templeton,2,3,2100,479000
Templeton,4,2,1797,305000
Templeton,4,3,3008,899000
Templeton,3,2,1999,459000
Templeton,3,4,3123,774800
Templeton,2,1,952,325000
Templeton,3,2,1850,625000
